event_id,match_ts,match_date_utc,match_label,opponent,home_away,player_id,player_name,display_name,minutes_played,passes_p90,tackles_won_p90,duels_won_p90,successful_dribbles_p90,defensive_actions_p90,key_passes_p90,possession_lost_p90,touches_p90,pass_accuracy_match,ball_losses_per_touch_pct,duels_total,ground_duels,air_duels,ground_duels_won,air_duels_won,shots_on_target,shots_total,interceptions,crosses_total,crosses_accurate,crosses_accuracy_pct,duels_total_p90,ground_duels_p90,air_duels_p90,ground_duels_won_p90,air_duels_won_p90,shots_on_target_p90,shots_total_p90,interceptions_p90,crosses_total_p90,crosses_accurate_p90
14056366,1756490400,2025-08-29T18:00:00+00:00,FC Emmen. Uit,FC Emmen,Uit,896215,Kevin Felida,K. Felida - 6,90.0,39.0,0.0,9.0,2.0,10.0,0.0,9.0,57.0,79.48717948717949,15.789473684210526,17.0,14.0,3.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,,17.0,14.0,3.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0
14056366,1756490400,2025-08-29T18:00:00+00:00,FC Emmen. Uit,FC Emmen,Uit,966676,Kévin Monzialo,K. Monzialo - 8,76.0,22.5,1.1842105263157894,5.921052631578947,1.1842105263157894,7.105263157894736,0.0,22.5,40.26315789473684,52.63157894736842,55.88235294117647,10.0,6.0,4.0,3.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,11.842105263157894,7.105263157894736,4.7368421052631575,3.552631578947368,2.3684210526315788,1.1842105263157894,1.1842105263157894,0.0,3.552631578947368,0.0
14056366,1756490400,2025-08-29T18:00:00+00:00,FC Emmen. Uit,FC Emmen,Uit,1618954,Luc van Koeverden,L. v. Koeverden - 42,82.0,35.1219512195122,2.1951219512195124,3.292682926829268,0.0,14.268292682926829,0.0,4.390243902439025,49.390243902439025,87.5,8.88888888888889,5.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,5.48780487804878,4.390243902439025,1.0975609756097562,2.1951219512195124,1.0975609756097562,0.0,0.0,0.0,0.0,0.0
14056366,1756490400,2025-08-29T18:00:00+00:00,FC Emmen. Uit,FC Emmen,Uit,1509970,Mees Laros,M. Laros - 33,90.0,23.0,0.0,5.0,1.0,12.0,1.0,9.0,47.0,65.21739130434783,19.148936170212767,8.0,4.0,4.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,,8.0,4.0,4.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0
14056366,1756490400,2025-08-29T18:00:00+00:00,FC Emmen. Uit,FC Emmen,Uit,1088891,Pepijn van de Merbel,P. v. d. Merbel - 36,90.0,39.0,0.0,2.0,0.0,12.999999999999998,0.0,16.0,53.0,61.53846153846154,30.18867924528302,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
14056366,1756490400,2025-08-29T18:00:00+00:00,FC Emmen. Uit,FC Emmen,Uit,977526,Reda Akmum,R. Akmum - 27,90.0,33.0,2.0,3.0,0.0,14.0,0.0,6.0,51.0,90.9090909090909,11.76470588235294,5.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,5.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
14056366,1756490400,2025-08-29T18:00:00+00:00,FC Emmen. Uit,FC Emmen,Uit,1067996,Stan Maas,S. Maas - 3,45.0,20.0,2.0,2.0,0.0,16.0,0.0,8.0,44.0,70.0,18.181818181818183,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
14056366,1756490400,2025-08-29T18:00:00+00:00,FC Emmen. Uit,FC Emmen,Uit,1048428,Thijs van Leeuwen,T. v. Leeuwen - 10,90.0,25.999999999999996,1.0,6.0,2.0,5.0,2.0,9.0,40.0,80.76923076923077,22.5,13.0,10.0,3.0,4.0,2.0,0.0,1.0,0.0,1.0,1.0,100.0,12.999999999999998,10.0,3.0,4.0,2.0,0.0,1.0,0.0,1.0,1.0
14056366,1756490400,2025-08-29T18:00:00+00:00,FC Emmen. Uit,FC Emmen,Uit,1886193,Zaid el Bakkali,Z. e. Bakkali - 26,76.0,26.05263157894737,0.0,2.3684210526315788,1.1842105263157894,7.105263157894736,0.0,9.473684210526315,36.71052631578947,77.27272727272727,25.806451612903224,7.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.289473684210526,8.289473684210526,0.0,2.3684210526315788,0.0,0.0,0.0,0.0,0.0,0.0
14056383,1757700000,2025-09-12T18:00:00+00:00,FC Dordrecht. Thuis,FC Dordrecht,Thuis,1186805,Chahid El Allachi,C. E. Allachi - 51,90.0,21.0,2.0,10.0,4.0,5.0,1.0,15.0,44.0,71.42857142857143,34.090909090909086,13.0,12.0,1.0,9.0,1.0,2.0,2.0,0.0,4.0,1.0,25.0,12.999999999999998,12.0,1.0,9.0,1.0,2.0,2.0,0.0,4.0,1.0
